frame_idx,time_s,class_name,conf,x1,y1,x2,y2,X_m,Y_m,Z_m,distance_m
65,2.167,sports ball,0.836,719.32,197.52,748.88,228.39,0.627,-1.107,6.686,6.805
66,2.2,sports ball,0.835,719.32,197.57,748.8,228.29,0.626,-1.106,6.678,6.798
67,2.233,sports ball,0.835,719.63,197.63,748.8,228.32,0.628,-1.107,6.686,6.805
68,2.267,sports ball,0.835,719.65,197.71,748.76,228.44,0.627,-1.106,6.686,6.805
69,2.3,sports ball,0.837,719.62,197.65,748.88,228.53,0.627,-1.104,6.675,6.794
70,2.333,sports ball,0.828,719.92,197.64,749.31,228.64,0.63,-1.104,6.675,6.795
71,2.367,sports ball,0.83,719.43,197.66,749.09,228.71,0.627,-1.103,6.675,6.794
72,2.4,sports ball,0.835,719.82,197.89,749.28,228.58,0.629,-1.103,6.673,6.793
73,2.433,sports ball,0.837,719.39,197.77,748.79,228.3,0.625,-1.104,6.673,6.793
74,2.467,sports ball,0.839,719.2,197.72,748.51,228.5,0.624,-1.104,6.673,6.792
75,2.5,sports ball,0.842,718.93,197.74,748.38,228.32,0.623,-1.106,6.681,6.8
76,2.533,sports ball,0.836,719.16,197.65,748.58,228.19,0.625,-1.107,6.687,6.807
77,2.567,sports ball,0.838,719.21,197.51,748.79,228.19,0.626,-1.108,6.687,6.807
78,2.6,sports ball,0.839,719.15,197.37,748.71,228.29,0.625,-1.107,6.681,6.801
79,2.633,sports ball,0.837,719.29,197.42,748.72,228.25,0.624,-1.104,6.661,6.78
80,2.667,sports ball,0.834,719.49,197.49,748.76,228.05,0.625,-1.104,6.661,6.781
81,2.7,sports ball,0.824,719.65,197.45,748.98,228.3,0.626,-1.103,6.661,6.781
82,2.733,sports ball,0.827,719.78,197.54,748.82,227.97,0.627,-1.106,6.671,6.791
83,2.767,sports ball,0.828,719.6,197.22,749.09,227.91,0.627,-1.107,6.671,6.791
84,2.8,sports ball,0.839,719.04,197.08,748.28,227.8,0.624,-1.112,6.694,6.815
85,2.833,sports ball,0.84,719.21,197.24,748.52,227.68,0.626,-1.112,6.694,6.815
86,2.867,sports ball,0.838,719.57,196.81,749.0,227.75,0.629,-1.113,6.694,6.815
87,2.9,sports ball,0.841,719.63,196.75,749.0,227.63,0.627,-1.11,6.671,6.792
88,2.933,sports ball,0.841,719.61,196.76,748.98,227.62,0.626,-1.109,6.666,6.786
89,2.967,sports ball,0.837,719.51,197.1,748.58,227.47,0.624,-1.108,6.666,6.786
90,3.0,sports ball,0.843,719.32,196.92,748.12,227.54,0.622,-1.109,6.666,6.786
91,3.033,sports ball,0.843,719.41,197.14,748.45,227.75,0.63,-1.118,6.73,6.851
92,3.067,sports ball,0.843,718.16,197.66,747.66,228.26,0.622,-1.114,6.73,6.85
93,3.1,sports ball,0.831,719.02,198.27,748.2,229.03,0.627,-1.109,6.73,6.85
94,3.133,sports ball,0.816,719.78,199.16,749.12,230.06,0.63,-1.097,6.697,6.816
95,3.167,sports ball,0.783,722.17,201.7,751.68,231.1,0.649,-1.083,6.697,6.815
